repo,verdict,reason,capability,install_cmd,license,risk_level,risk_note,category,evidence,checked_at
Shmilyol/galgame-skin,watchlist,会话内动态 client Cordis 插件（cordis_define/cordis_run + UI 批准，重启即失），无 license、无 package.json，属极早期皮肤原型。,galgame 和风界面皮肤：主题、场景效果、头部按钮、设置项（CSS/token/Slot 覆盖，可 cordis_stop 完整还原）,用 galgame-plugin.client.js 内容定义插件 code.client 后 cordis_run 并在 UI 批准（仅当前进程，重启需重挂）,Not found,low,纯客户端 CSS/token/Slot 覆盖，无外部数据流,web_ui_customization,"readme.md (动态插件安装/还原说明), galgame-plugin.client.js",2026-08-14
showlibia/dsh-plugin-installer,verified_plugin,README 文档化 `dsh plugin --profile web add github:showlibia/dsh-plugin-installer` + cordis.patch.yml 注册 name，含沙箱验证门与热挂载（manifest=True、pkgjson=True）。,设置页「插件安装」标签：npm 包/git/tarball/本地目录无感安装/卸载并激活 DSH 插件，坏插件沙箱预检不写入配置，支持热重载/救援 CLI,dsh plugin --profile web add github:showlibia/dsh-plugin-installer（或 link:$PWD），再把 name: 'dsh-plugin-installer' 追加到 $DSH_HOME/profiles/web/cordis.patch.yml,Not found,medium,后端 spawn 原生 dsh plugin add/remove（经 pnpm 解析任意包源），写入 cordis.patch.yml / dsh.profile.bundles，带沙箱验证与启动前快照；有救援脚本,ecosystem,"readme.md (两种安装方式、验证门/热重载/救援 CLI 说明), package.json, manifest",2026-08-14
ShuaixinHuang/deepseek-harness-desktop,rejected,「受 DeepSeek Harness 启发」的独立 Electron 桌面 agent harness + TUI（npm install -g deepseek-harness-desktop 自建运行时），不是 DSH/Cordis 插件。,,,MIT,,,,"readme.md (桌面应用对比表、/login 与 auth.json/keyring、npm -g 安装), package.json；cordis=False，无插件装载机制",2026-08-14
shuguang1994/project-blueprint,verified_plugin,"Real DSH plugin: documented `dsh plugin --profile web add` install, package.json + cordis + manifest + skill files present, MIT",一键把任意项目改造成 AI-agent-ready 脚手架：自动检测技术栈并生成 AGENTS.md、文档骨架、CI/CD 与测试基础设施,dsh plugin --profile web add 'github:shuguang1994/project-blueprint' (also npx skills add shuguang1994/project-blueprint),MIT,medium,扫描并写入工作区文件（AGENTS.md/CI 等脚手架生成），npx skills add 安装会执行远程安装脚本,developer_tools,"digest 0691: readme.md (dsh plugin --profile web add cmd, supported agents incl. DSH), pkgjson/cordis/manifest/skill/plugin_dir flags all True",2026-08-14
ShuoSachiko/MathMN,verified_skill,"DSH skill: 16-skill math-modeling workflow + dsh/preset-mathmodel DSH preset (mount-validated); installed by manual copy, not yet a profile bundle",数学建模竞赛 AI 工作流：16 个技能链（建模/分析/写作/核验等）+ DSH 数学建模 Agent 预设,路线 B: 手动复制 dsh/preset-mathmodel 到 DSH 用户预设根；Codex 路线: scripts/setup-codex.ps1（官方 profile bundle 待 DSH 能力闭合后补充）,NOASSERTION,medium,技能链调用 Python/MATLAB/xelatex 等本地执行（受限沙箱下需更宽权限）；数据均在本地工作区，无外部上传,skills,"digest 0692: readme.md (DSH 路线 B 手动复制预设 + 本机 mount 校验, 一键安装待办), skills/ 16 个技能含 SKILL.md (skill=True), dsh/ 预设与发布说明",2026-08-14
shyboy/dsh-k12-lesson-builder,verified_plugin,"Real DSH plugin: documented `dsh plugin --profile web add <tgz>` install, package.json + cordis present, MIT",读取教师提供的教材/课标/PPT 模板，生成同步对应的 K12 英语课件 PPTX 与 DOCX 教案,dsh plugin --profile web add .\dsh-k12-lesson-builder-0.1.1.tgz (remove: dsh plugin --profile web remove dsh-k12-lesson-builder),MIT,medium,读写工作区内教材/模板/输出文件，需本机安装 MS Word/PowerPoint；插件拒绝工作区外路径与符号链接，不调用第二个模型,education,"digest 0693: readme.md (安装/移除命令、工作区限定、rc.6 兼容说明), pkgjson=True cordis=True",2026-08-14
Sikao-Engine/KimiX,rejected,"Standalone LLM coding-agent CLI (Kimi-CLI-X) with its own script/skill system and multi-API support; no DSH/Cordis loading path, topic-only dsh-plugin tag",,,Not found,,,,"digest 0694 + raw README: python install.py / pip install kimix, own .kimix/skill.json skill_dir config, docs/tutorials/4_skills_en.md; cordis/manifest/pkgjson all False",2026-08-14
sikwoxy/dsh-tool-memory,verified_plugin,"Real DSH plugin: `dsh plugin add dsh-tool-memory` documented, package.json + cordis present, MIT, Hermes-style cross-session memory",跨会话持久记忆：冻结快照经 systemPrompt.section 注入 + 记忆工具，每 N 条用户消息自动跑隔离子代理评审,dsh plugin add dsh-tool-memory (build: pnpm install && pnpm build),MIT,medium,记忆/画像写入本地文件并注入 system prompt；隔离子代理评审触发额外 LLM 调用（外部 API 带提示词/数据）,memory_persona,"digest 0695: readme.md (冻结快照/事件监听/配置覆盖), pkgjson=True cordis=True, name: dsh-tool-memory 插件配置节",2026-08-14
simon300000/dsh-auto,verified_plugin,"Real DSH plugin: `dsh plugin --profile web add github:simon300000/dsh-auto` documented, package.json + cordis present, MIT",为 DSH Web UI 增加 Auto Approve 权限预设：每个待审批动作由全新受限的 DSH 子代理审查后决定放行/拒绝,dsh plugin --profile web add github:simon300000/dsh-auto,MIT,high,自动批准可触发具有特权的动作；虽由受限子代理审查，默认审查模型为 deepseek-v4-flash，属自动放行风险面,automation,"digest 0696: readme.md (Auto Approve 预设、reviewerProvider/reviewerModel 覆盖), pkgjson=True cordis=True",2026-08-14
Simon314620/dsh-turn-index,verified_plugin,"Real DSH web bundle: `dsh plugin --profile web add dsh-turn-index` documented, package.json + cordis + manifest present, MIT",Web GUI 右侧对话轮次索引侧边栏：按轮列出用户提问，点击滚动跳转+高亮，滚动时同步高亮当前轮,dsh plugin --profile web add dsh-turn-index (或 add https://github.com/Simon314620/dsh-turn-index/archive/refs/tags/v0.1.1.tar.gz)；装后重启 dsh web,MIT,low,纯客户端侧边栏 UI（slots/sessions/locale 服务 + shell.overlay 槽位），偏好仅存 localStorage，无特权,web_ui,"digest 0697: readme.md (安装/移除/回滚、依赖宿主标准 web bundle、jsdom 测试), pkgjson=True cordis=True manifest=True",2026-08-14
sindo-s/dsh-qq-bot,verified_plugin,"Real DSH plugin: cordis overlay loading documented (`package.json` name + `pnpm dsh web --patch ./cordis.yml`), MIT",把 QQ 官方开放平台 Bot API 桥接到 dsh agent：消息收发、网关与会话生命周期随插件热重载启停,cordis overlay: cordis.yml 中 name: '/abs/path/to/dsh-qq-bot/src/index.ts'，然后 pnpm dsh web --patch ./cordis.yml,MIT,high,IM 通道（QQ 官方 Bot 凭据）可触发 agent；外部消息进入会话，网关全程在 ctx.effect 中注册,communication,"digest 0698: readme.md (cordis overlay 加载、生命周期 ctx.effect 规范), pkgjson=True；无 cordis.patch.yml 但以 cordis.yml patch 方式加载",2026-08-14
sisyphus-iambe/northstar-exam,rejected,"Standalone AI-output verification framework (four-layer statistical exams, deterministic verdicts, no LLM self-eval); no DSH/Cordis loading evidence, topic-only dsh-plugin tag",,,NOASSERTION,,,,digest 0699: readme.md 仅提及 demo_data/specs/spec_demo_data.json 与统计检验框架; pkgjson/cordis/manifest/skill 均 False,2026-08-14
SisyphusSQ/dsh-plugins,watchlist,"Very early-stage: monorepo workspace + package conventions only, README explicitly states no installable plugin provided yet",DSH 插件 monorepo 骨架（pnpm-workspace + packages/ 约定），暂无已发布/可安装插件,（暂无）— 等待 packages/ 下首个稳定插件发布,MIT,,当前无任何可执行插件，仅工作区与包约定,,"digest 0700: readme.md (当前只建立 monorepo 工作区和包约定，尚未提供任何可安装插件), pkgjson=True",2026-08-14
sjakdhasdh/dsh-vision,verified_plugin,"Real DSH plugin: `dsh plugin --profile web add ./dsh-vision` documented, package.json + cordis present, MIT, CI badge",为无视觉能力的模型（如 deepseek-v4-flash）增加识图工具，经阿里百炼/任意 OpenAI 兼容视觉 API,pnpm install && pnpm run build，然后 dsh plugin --profile web add ./dsh-vision（或 profile 补丁层 cordis.patch.yml: - id: dsh-vision）,MIT,medium,图片与提示词发送至外部视觉 API（阿里百炼/OpenAI 兼容端点）；需打 dsh-llm-deepseek 补丁（见 PATCHES.md）,vision,"digest 0701: readme.md (安装两种方式、配置优先级、MODEL_DOES_NOT_SUPPORT_IMAGES 限制), pkgjson=True cordis=True",2026-08-14
sjscy05/dsh-desktop,rejected,"Windows desktop distribution of DSH itself (packaged single-file dsh.exe via pkg SEA + electron-builder/NSIS), not a DSH/Cordis extension",,,MIT,,,,digest 0702: readme.md (内嵌 dsh.exe Node 24 + 完整插件闭包、electron-builder --win portable/nsis；第三方插件在桌面版不可用); pkgjson/cordis 均无,2026-08-14
Skitre/better-dsh-plugin-management,rejected,Repository has no content: digest empty (all flags None) and raw README.md / package.json both return 404,,,Not found,,,,digest 0703 为空（tree/readme/pkgjson/cordis/manifest/skill 均 None）+ GitHub raw 请求 README.md 与 package.json 均 404,2026-08-14
skitse/dsh-dev-actions,verified_plugin,"Real DSH plugin: `dsh plugin --profile web add` with release tgz documented, package.json + cordis + manifest + skill present, MIT, CI",让模型在开发中主动发现重复命令/提示词并维护为可点击的一键快捷动作（工作区/会话两级、固定/验收/使用统计）,dsh plugin --profile web add dsh-better-sidebar@^0.10.3 https://github.com/skitse/dsh-dev-actions/releases/latest/download/dsh-dev-actions.tgz,MIT,medium,注册 dev_action_upsert 等工具，AI 可记录并触发开发动作（workspace 读写），human-in-the-loop 点击执行,developer_tools,"digest 0704: readme.md (两分钟安装、dev_action_upsert 工具、dev-actions-maintainer Skill), pkgjson=True cordis=True manifest=True skill=True",2026-08-14
sktwoa/dsh-plugins-collection,rejected,"Static HTML aggregator/awesome-list page listing high-star DSH plugins (67 records, daily auto-scan), not a DSH extension",,,Not found,,,,digest 0705: readme.md (index.html 收集页、GitHub Pages、67 条记录、每日 topic:dsh-plugin ≥200★ 扫描); 仅 HTML 静态页,2026-08-14
SkySheep1999/dsh-polish-prompts,verified_plugin,"Real DSH bundle: package.json declares dsh.bundle + dsh.client, `dsh plugin --profile web add github:SkySheep1999/polish-prompts` documented, MIT",Web 输入框旁 ✨ 按钮：点击后用指定模型把当前草稿润色为更清晰、更结构化的提示词（保持原意与原语言）,dsh plugin --profile web add github:SkySheep1999/polish-prompts（或 /path/to/polish-prompts）；装后重启 dsh web,MIT,medium,草稿文本经 ctx.llm.stream 发送至模型（外部 API 带提示词）；配置持久化到 $DSH_HOME/prompt-polish.json；含输入框引用时拒绝润色,web_ui,"digest 0706: readme.md (dsh.bundle 声明、/dsh-polish/* API 表、client.js 注入), pkgjson=True cordis=True",2026-08-14
skyzhao1223/dsh-plugin-scaffold,verified_plugin,"Real loadable DSH plugin scaffold: cordis.yml overlay + verify scripts boot through real dsh-tools/Cordis Loader; `dsh web --patch` documented, MIT",最小可运行 DSH 插件脚手架：一个 ctx.tools 模型端 hello 工具 + 加载路径验证脚本（ctx.plugin / Cordis Loader 双路径）,"dsh web --patch ""$PWD/cordis.yml""（开发验证: pnpm verify / pnpm verify:loader）",MIT,low,仅 hello 示例工具与本地验证脚本，无数据出站/特权操作,developer_tools,"digest 0707: readme.md (安装/验证方式、cordis.yml overlay), pkgjson=True cordis=True; scripts/verify.ts 走真实 dsh-tools runtime",2026-08-14
sleepinginsummer/dsh-fff,verified_plugin,"Real DSH plugin: `dsh plugin --profile <name> add dsh-fff` documented, cordis present, published on npm as dsh-fff (MIT), port of pi-fff",模糊文件查找 + 索引内容搜索：find_files/resolve_file/related_files/fff_grep（纯 JS 遍历 + ripgrep 内容搜索，60s TTL 缓存）,dsh plugin --profile <name> add dsh-fff（装后重启 DSH；fff_grep 需本机 ripgrep）,MIT,medium,递归遍历工作区（≤5 万文件/16 层，跳过 .git/node_modules 等）建索引并执行 ripgrep 内容搜索 = workspace 读取,developer_tools,"digest 0708: readme.md (安装命令、索引/内容搜索机制), pkgjson=True cordis=True；npm registry license=MIT",2026-08-14
sleepinginsummer/dsh-hashline-edit-pro,verified_plugin,"Real DSH plugin: `dsh plugin --profile <name> add dsh-hashline-edit-pro` documented, cordis present, published on npm (MIT), port of pi-hashline-edit-pro",哈希锚点编辑工具：hashline_read / replace / undo_last_replace（纯 JS xxh32 + JSON 状态文件持久化，256 路径上限）,dsh plugin --profile <name> add dsh-hashline-edit-pro（装后重启 DSH）,MIT,medium,提供文件读/改写/撤销工具，修改工作区文件并持久化状态文件 ~workspace/.dsh-hashline-state.json,developer_tools,"digest 0709: readme.md (安装命令、xxhash-wasm vs 纯 JS 实现对比), pkgjson=True cordis=True；npm registry license=MIT",2026-08-14
sleepinginsummer/dsh-rtk-optimizer,verified_plugin,"Real DSH plugin: `dsh plugin --profile <name> add dsh-rtk-optimizer` documented, cordis present, published on npm (MIT), port of pi-rtk-optimizer",RTK 命令改写建议 + bash/grep/read 工具输出压缩（Host 拦截器；rtk 缺失时原样执行并 60s 缓存探测）,dsh plugin --profile <name> add dsh-rtk-optimizer（装后重启 DSH；/rtk 命令可查状态与统计）,MIT,medium,拦截 bash/grep/read 调用并可能改写命令（本地 rtk 二进制改写 <command>），改变实际执行命令；兼容 rtk 0.43 退出码 3,developer_tools,"digest 0710: readme.md (安装命令、guardWhenRtkMissing 行为、rtk 协议适配), pkgjson=True cordis=True；npm registry license=MIT",2026-08-14
slhssb/dsh-advisor,verified_plugin,"Real DSH plugin: `dsh plugin add @slhssb/dsh-advisor` documented, package.json dsh.profile.bundles + cordis present, MIT, npm-published",独立模型顾问审查：每步工具调用后由评审模型审计 agent 操作并经 dsh-agent-instructions 通道注入关切/建议到下一步,"dsh plugin add @slhssb/dsh-advisor（或 profile package.json dependencies + dsh.profile.bundles: [""@slhssb/dsh-advisor""] 后 pnpm install）",MIT,medium,每步工具调用数据与提示词发送至第二个审查模型（外部 API 带数据）；经 system prompt 文本注入下一步,developer_tools,"digest 0711: readme.md (安装于 profile、bundles 声明、source: { kind: 'plugin', plugin: 'dsh-advisor' }), pkgjson=True cordis=True",2026-08-14
sliverp/DeepSeek-harness-weixin,verified_plugin,"Real DSH plugin: `pnpm dsh plugin --profile web add github:sliverp/DeepSeek-harness-weixin` documented with bundle row insertion, cordis present",微信私聊频道插件（独立 channel）：腾讯 iLink/ClawBot 官方协议 + 二维码授权登录，文本/图片消息与 dsh agent 互通,pnpm dsh plugin --profile web add github:sliverp/DeepSeek-harness-weixin，然后 pnpm dsh web（可在 ~/.dsh/profiles/web/cordis.patch.yml 覆盖配置）,NOASSERTION,high,微信登录会话（二维码授权/账号凭据）+ IM 通道可触发 agent；AES 媒体处理，协议源自 Tencent/openclaw-weixin 2.4.6,communication,"digest 0712: readme.md (安装、bundle 插入行 name: deepseek-harness-weixin、pong 心跳), pkgjson=True cordis=True",2026-08-14
smanx/dsh-conversation-indicator,verified_plugin,"Real DSH web plugin: `dsh plugin --profile web add github:smanx/dsh-conversation-indicator#main` documented, package.json + cordis + manifest present, MIT",Web GUI 对话指示器：滚动条旁紧凑面板标记每条用户消息，悬停看摘要、点击跳转（纯客户端 bundle）,dsh plugin --profile web add github:smanx/dsh-conversation-indicator#main（或 file: 本地路径）；装后刷新页面,MIT,low,纯客户端 bundle（/plugins/dsh-conversation-indicator/client.js 自包含 vanilla DOM），选项存 localStorage，无特权,web_ui,"digest 0713: readme.md (安装命令、client bundle 加载、localStorage options), pkgjson=True cordis=True manifest=True",2026-08-14
SmileTao/dsh-plugin-dev-skill,verified_skill,"DSH dev skill: skills/dsh-plugin-dev/SKILL.md knowledge asset explicitly for writing DSH plugins, installable to .agents/skills; not a runtime plugin by its own statement",教 AI 编程助手正确编写 dsh 插件的知识型 Skill（Cordis 架构、事件/工具契约、15+ 扩展点、安全实践）,cp -r skills/dsh-plugin-dev /your/project/.agents/skills/（或 .trae/skills/）；也可直接读 SKILL.md 作速查,MIT,low,纯知识型 SKILL.md，无执行逻辑与数据流,skills,"digest 0714: readme.md (明确 It is NOT a dsh runtime plugin itself、安装复制命令), skill=True cordis=True, skills/dsh-plugin-dev/SKILL.md",2026-08-14
SnowAmberX/dsh-role-router,verified_plugin,"Real DSH plugin: `dsh plugin --profile web add @SnowAmberX/dsh-role-router` documented, package.json + cordis present, BSD-3-Clause",角色化模型路由：/plan 计划模式自动路由到 planner 模型，子代理请求走 subagent 模型，退出自动切回；Web 设置卡片 + composer 摘要,dsh plugin --profile web add @SnowAmberX/dsh-role-router（或 add link:/path/to/repo；pnpm install 依赖由 harness checkout 软链提供）,BSD-3-Clause,low,仅模型路由配置（cordis.yml/role-router 设置命名空间）与客户端设置 UI，无文件/数据出站,model_gateway,"digest 0715: readme.md (两级配置、planner/subagent 路由表、dsh.client platform:web), pkgjson=True cordis=True",2026-08-14
songqikong/dash,verified_plugin,"Real DSH TUI plugin: installs as ~/.dsh/profiles/dash profile via install.sh, agent created through official ctx.agents.create(), cordis present, MIT",终端 TUI 客户端（oh-my-pi 键位 + DSH 完整 agent 内核）：/plan /goal /compact、模型角色体系、会话持久化、raw-ANSI 渲染,git clone https://github.com/songqikong/dash.git && cd dash && sh install.sh（创建 ~/.dsh/profiles/dash + ~/.local/bin/dash）；启动: dash,MIT,high,生成的 profile 默认 permission 为 danger-full-access + policy: never（无审批弹窗，终端即信任边界）；可信赖模型才建议使用，可在 cordis.patch.yml 收紧,tui,digest 0716 + raw README: install.sh 建 profile、ctx.agents.create()/agent.followup()/session 事件流、仅依赖 @deepseek-ai/dsh-llm 与 dsh-agent,2026-08-14
Songran241/dsh-req-workbench,verified_plugin,"Real DSH plugin: `dsh plugin --profile web add github:Songran241/dsh-req-workbench` documented, package.json + cordis present, MIT",需求管理工作台（Web UI）：从对话 turn/粘贴文本/本地文件解析功能需求与子任务，支持截止时间与超时提醒,dsh plugin --profile web add github:Songran241/dsh-req-workbench（或手动加依赖 + dsh.profile.bundles 后 corepack pnpm install）,MIT,medium,解析会话/文本/本地文件并持久化到 dsh-storage-domain 存储；host 面需 ESM 构建避免 Node 24 require 竞态,task_management,"digest 0717: readme.md (RequirementsService @Remote RPC、cordis.patch.yml bundle 补丁、ESM 注意), pkgjson=True cordis=True",2026-08-14
soolaugust/deepseek-harness-cli,rejected,"Full byte-level copy of the official DeepSeek Harness source (package.json name @deepseek-ai/dsh-root, 7461 files, official README), not an independent DSH plugin",,,MIT,,,,"digest 0718 + raw package.json: name @deepseek-ai/dsh-root v0.1.0-rc.5, workspaces/scripts 与官方一致；README 为官方 deepseek-ai/deepseek-harness 文案",2026-08-14
sopaco/terrain,rejected,"Standalone Rust engineering-environment management platform (installs Skills/CodeGraph/RTK/AGENTS.md for coding agents generally); no DSH/Cordis loading evidence, topic-only dsh tags",,,MIT,,,,"digest 0719: readme.md (环境/道路、Skills/CLIs/AGENTS.md 集成、preset_skills/), pkgjson=True cordis=False manifest=False",2026-08-14
sorsama/deepseek-harness-mobile,rejected,"Standalone Android companion app (Kotlin + Jetpack Compose) for DSH over LAN (chat/goals/approvals/notifications), not a DSH/Cordis plugin; no cordis/pkgjson loading evidence",,,MIT,,,,digest 0720: readme.md (Android companion、DSH design tokens、LAN 连接、Releases 链接指向 LabTeto/dsh-mobile); pkgjson/cordis/manifest 均无,2026-08-14
Sorwcyra/ds-vision-plugin,verified_plugin,"Real DSH vision plugin: pastes images into Harness Web with a four-model vision race, OCR and text bridge; bundle install documented.",四模型视觉竞速（Agnes 2.5/2.0、GLM-4V-Flash、GLM-4.1V-Thinking-Flash）+ OCR + 图文桥：粘贴图片后首个有效识别结果交给 DeepSeek。,"npx -y @deepseek-ai/dsh plugin --profile web add ""github:Sorwcyra/ds-vision-plugin""（或 npx -y github:Sorwcyra/ds-vision-plugin）",MIT,medium,把粘贴图片发给第三方 VLM API（Agnes/GLM 系列）做识别，图片内容离开本机；OCR 文本桥回 DeepSeek。,vision,readme.md（安装命令、--port/--no-open/--no-start 覆盖、cordis.patch.yml 行覆盖说明、race 测试）；package.json 与 cordis.patch.yml 存在（flags: cordis=True）。,2026-08-14
sperictao/codex-pro-max,rejected,"Standalone Tauri v2 desktop launcher (taskboard service, Codex CDP injection, ~/.codex guard, FastCtx MCP, DSH remote access) — not a DSH plugin bundle.",,,Not found,,,,"readme.md + package.json 检查：无 dsh.bundle/dsh.profile/cordis.patch.yml（flags: cordis=False, manifest=False），安装方式是 Releases 安装包与 tauri build，无 `dsh plugin` 挂载路径。",2026-08-14
Spirit4471/multimodal-bridge,verified_plugin,Real DSH bundle (dsh-plugin/ dir) plus MCP server: bridges Qwen-VL vision and Qwen-Image generation to text-only models; one-line dsh plugin add.,多模态桥：把 Qwen-VL 视觉理解与 Qwen-Image 图像生成带给纯文本模型（DeepSeek），双形态（MCP qwen_vision/qwen_generate + DSH bundle），含模型 fallback 与尺寸自适应。,dsh plugin --profile <name> add dsh-multimodal-bridge,MIT,medium,图片/提示词发送到 Qwen 外部 API；多模型自动 fallback 涉及多家服务商。,vision,"readme.md（双形态说明、dsh plugin add 命令、指向 dsh-plugin/README.md）；flags: cordis=True, plugin_dir=True。",2026-08-14
Spirtxiaoqi7/mindspace-dsh-session-memory,verified_plugin,Real dual-face DSH bundle (package.json + cordis.patch.yml) for editable session-isolated personalization memory with documented add/remove commands.,可编辑、会话隔离的个性化记忆层：Host 挂载 Remote 描述符、浏览器注册设置页，不 patch DSH 源码。,dsh plugin --profile web add ./mindspace-dsh-session-memory-0.2.0.tgz（卸载：dsh plugin --profile web remove mindspace-dsh-session-memory）,MIT,medium,读写会话记忆/个性化数据并持久化，浏览器设置页展示；数据留在本机 profile，无网络上报。,memory_persona,readme.md（安装/卸载命令、dual-face bundle 说明、不修改 api-remotes/内置 bundle）；package.json + cordis.patch.yml（flags: cordis=True）。,2026-08-14
springbrand-lab/dsh-oauth-mcp-client,verified_plugin,"Real DSH bundle extending native dsh-mcp-client with OAuth 2.1/PKCE, documented dsh plugin add and springbrand.cordis.yml.",OAuth 2.1 Streamable HTTP MCP client：PKCE、动态 token 存储、重连处理与 MCP 工具注册，扩展原生 dsh-mcp-client 连接流。,"git clone https://github.com/springbrand-lab/dsh-oauth-mcp-client.git && pnpm install && pnpm build && npx --yes @deepseek-ai/dsh@latest plugin --profile web add ""$PLUGIN_DIR""",MIT,high,本地存储 OAuth token 并连接用户配置的远程 MCP 服务器；token 生命周期与回调处理不当可造成凭据暴露/重放。,developer_tools,readme.md（安装、springbrand.cordis.yml、~/.dsh/profiles/web/cordis.patch.yml 持久化说明）；package.json + cordis.patch.yml（flags: cordis=True）。,2026-08-14
SPYfighting/dsh-science-plugin,verified_plugin,Real DSH node-half plugin + 8 skills with release tarball install and cordis patch; evidence-chain science workspace for DSH 0.1.0-rc.6.,科研工作区：数据库检索、计算产物、Deep Search、审查与 SSH/Slurm/PBS 远程任务保存为项目内可重放证据链，注册 DSH 工具/UI 与 8 个科研 Skills。,dsh plugin --profile science-dev add ./dsh-science-plugin-0.1.0.tgz（Releases 下载并核对 SHA-256）,MIT,high,执行 SSH/Slurm/PBS 远程任务并把证据落盘；凭据仅接受 env: 引用不保存密钥值，远程模块不读取 ~/.ssh 私钥。,data_tools,"readme.md（安装、里程碑 A/B 状态、src/index.ts Cordis 宿主入口、skills/ 目录、openspec 任务清单、.dsh-science/config.yaml）；package.json + cordis.patch.yml（flags: cordis=True, manifest=True, skill=True）。",2026-08-14
STARDUSTLC666/dsh-calendar,verified_plugin,Real DSH node-half plugin: 5 CalDAV calendar tools with dsh plugin add and cordis.patch.yml config.,CalDAV 日历五件套：calendar_list/create/update/delete/search，支持 Google/iCloud/Nextcloud 及任意 CalDAV 服务器。,dsh plugin --profile web add dsh-calendar（装后重启 dsh）,Not found,medium,日历账号密码/应用专用密码写进 profile 的 cordis.patch.yml；与 CalDAV 服务器网络读写事件数据。,data_tools,readme.md（安装、id: calendar 行覆盖、Google/Nextcloud URL 拼装、ISO 8601 约定、无设置页说明）；package.json + cordis.patch.yml（flags: cordis=True）。,2026-08-14
STARDUSTLC666/dsh-dingtalk,verified_plugin,Real DSH plugin: one-way DingTalk group-bot push (Markdown/text) with dsh plugin add and patch config; zero core changes.,钉钉群机器人单向通知：agent 推送 Markdown/纯文本到钉钉群，支持加签 HMAC 签名（DSH_DINGTALK_SECRET 环境变量）。,dsh plugin --profile web add dsh-dingtalk（装后重启 dsh web）,Not found,medium,webhook+secret 用于向钉钉官方接口外发消息；secret 仅内存计算 HMAC，无联网上报，不读取群消息。,communication,readme.md（安装、tool-dingtalk 行覆盖、加签算法、安全提示、MIT 声明）；package.json + cordis.patch.yml（flags: cordis=True）。,2026-08-14
STARDUSTLC666/dsh-email,verified_plugin,"Real DSH plugin: email six-tool suite (IMAP/SMTP) with presets, multi-account, Web settings page; documented install.",邮件六工具（email_list/read/search/send/folders/attachment），QQ/163/126/新浪/阿里/Gmail/Outlook/iCloud 八个预设，多账号与 Web 设置页。,dsh plugin --profile web add dsh-email（或 dsh plugin --profile web add github:你的账号/dsh-email#<commit>）,MIT,high,持有邮箱授权码（邮箱钥匙）并读写收件箱、代发邮件、收发附件；凭证存本机 profile/settings.yaml（secret 标记），可落盘附件。,communication,readme.md（安装、设置页 settings.yaml 命名空间、cordis.patch.yml 覆盖 tool-email、downloadDir 落盘、43 个测试用例）；package.json + cordis.patch.yml（flags: cordis=True）。,2026-08-14
STARDUSTLC666/dsh-slack,verified_plugin,Real DSH plugin: two-way Slack communication via Socket Mode with dsh plugin add and id: slack patch config.,Slack 双向通信：slack_notify / slack_channels / slack_inbox / slack_reply，Socket Mode 长连接，token 支持环境变量回退。,dsh plugin --profile web add dsh-slack（装后重启 dsh Web）,Not found,high,双向 IM 通道：可接收群消息并驱动收件箱/回复，bot 与 app token（xoxb-/xapp-）存于配置或环境变量。,communication,readme.md（安装、Socket Mode 连接、词条错误处理、懒加载行为）；package.json + cordis.patch.yml（flags: cordis=True）；peer 依赖 @deepseek-ai/cordis、@deepseek-ai/dsh-tools。,2026-08-14
Starfie1d1272/dsh-builtin-toggles,verified_plugin,"Real DSH plugin: built-in plugin catalog + 9 audited safe UI toggles with server-side allowlist, installed via dsh plugin add.",设置→插件→内置插件：中文目录 + 9 个经过审核的纯界面开关（ui-deliverables/jobs/goal/message-feedback/model-selection/agent-preset/skill/subagent/trajectory），其余 fail-closed 锁定。,dsh plugin --profile web add dsh-builtin-toggles（装后重启 dsh web/gateway）,MIT,low,纯 UI 开关，服务端每请求校验 allowlist/包名/条目存在；写入 profile cordis.patch.yml 持久化，无凭据与网络外发。,web_ui,readme.md（安装/卸载、MANAGEABLE_IDS 策略、插件自身排除、持久化说明）；package.json + cordis.patch.yml（flags: cordis=True）。,2026-08-14
starsqvq/deepseek-harness-desktop,rejected,"Windows desktop packaging/launcher (Electron + C++ launcher) for the DSH UI, not a DSH plugin bundle.",,,MIT,,,,"readme.md（Releases zip 解压 + 双击 exe、构建需原 DSH checkout、g++ launcher 编译）；无 package.json dsh 字段/cordis（flags: cordis=False, manifest=False, skill=False）。",2026-08-14
Stormycry-cryp/dsh-AuthInOne,verified_plugin,"Real DSH Web profile bundle for provider API config, model switching and auditable token/cost analytics; tagged GitHub install documented.",DSH-native provider API 配置、模型切换与可审计 token/成本分析；lib/ 提交版 bundle，注册走 Cordis effects/service disposal。,dsh plugin --profile web add github:Stormycry-cryp/dsh-AuthInOne#v0.1.0-alpha.1（卸载：dsh plugin --profile web remove dsh-auth-in-one）,MIT,medium,管理 provider API 配置与 token/成本数据（浏览器端展示）；运行时依赖 Zod，无 shell/远程执行。,developer_tools,readme.md（安装/升级/移除、避免手改 profile manifest、构建与 pack、运行时依赖清单）；package.json + cordis.patch.yml（flags: cordis=True）。,2026-08-14
